FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.1fea7c2b-258d-30b7-bcfb-1ab043bb80eb,-50.488,-11.833,2019-07-08T17:45:00,AQUA_M-T,FORMOSO DO ARAGUAIA,TOCANTINS,Brasil,POINT (-11.833 -50.488)
focos_ams_ontem_hoje_ref.205aeb5f-3f93-31a2-a337-5a7921685c08,-42.335,-2.957,2019-07-08T16:10:00,AQUA_M-T,TUTÓIA,MARANHÃO,Brasil,POINT (-2.957 -42.335)
focos_ams_ontem_hoje_ref.2065af33-4127-31aa-8265-76b9a9a96e0a,-53.936,-22.515,2019-07-08T17:40:00,AQUA_M-T,NOVO HORIZONTE DO SUL,MATO GROSSO DO SUL,Brasil,POINT (-22.515 -53.936)
focos_ams_ontem_hoje_ref.2066f961-fac2-3bc2-8266-e01f7674d0c0,-56.925,-20.454,2019-07-08T17:40:00,AQUA_M-T,PORTO MURTINHO,MATO GROSSO DO SUL,Brasil,POINT (-20.454 -56.925)
focos_ams_ontem_hoje_ref.2087a1c3-f858-3af7-8770-30a52399f69b,-63.71,-13.924,2019-07-08T17:45:00,AQUA_M-T,Vaca Díez,El Beni,Bolivia,POINT (-13.924 -63.71)
focos_ams_ontem_hoje_ref.20c3f728-164b-361a-8435-9657b5a1e710,-60.176,-17.061,2019-07-08T17:45:00,AQUA_M-T,José Miguel de Velasco,Santa Cruz,Bolivia,POINT (-17.061 -60.176)
focos_ams_ontem_hoje_ref.20c7acb8-f65f-39d3-8ed2-0f00d14d8d0a,-58.461,-27.884,2019-07-08T17:40:00,AQUA_M-T,Empedrado,Corrientes,Argentina,POINT (-27.884 -58.461)
focos_ams_ontem_hoje_ref.21503a3b-ab12-3b0f-9274-7252fbc1f79c,-56.108,-26.935,2019-07-08T17:40:00,AQUA_M-T,General Artigas,Itapúa,Paraguay,POINT (-26.935 -56.108)
focos_ams_ontem_hoje_ref.21f31c26-4afa-3bdd-a460-a7af6f1ac7dd,-57.251,-26.812,2019-07-08T17:40:00,AQUA_M-T,San Ignacio,Misiones,Paraguay,POINT (-26.812 -57.251)
focos_ams_ontem_hoje_ref.2266911b-59ea-3357-bb56-19102dd6c8c8,-48.343,-19.149,2019-07-08T17:40:00,AQUA_M-T,UBERLÂNDIA,MINAS GERAIS,Brasil,POINT (-19.149 -48.343)
focos_ams_ontem_hoje_ref.22ad9813-9ed9-34b8-9df5-655f117ac324,-57.252,-26.803,2019-07-08T17:40:00,AQUA_M-T,San Ignacio,Misiones,Paraguay,POINT (-26.803 -57.252)
focos_ams_ontem_hoje_ref.22e32271-ff02-31b1-ac72-b9945ebfaaf6,-55.916,-26.362,2019-07-08T17:40:00,AQUA_M-T,Yuty,Caazapá,Paraguay,POINT (-26.362 -55.916)
focos_ams_ontem_hoje_ref.22e80310-20e4-34c8-9afc-da817b932869,-54.601,-12.709,2019-07-08T17:45:00,AQUA_M-T,NOVA UBIRATÃ,MATO GROSSO,Brasil,POINT (-12.709 -54.601)
focos_ams_ontem_hoje_ref.2357f22c-347e-3836-b3f1-2fe7d750e456,-58.832,-26.567,2019-07-08T17:40:00,AQUA_M-T,Libertador General San Martín,Chaco,Argentina,POINT (-26.567 -58.832)
focos_ams_ontem_hoje_ref.2373b9dd-dc7b-39d8-8043-9b4363542f7c,-60.371,-16.371,2019-07-08T17:45:00,AQUA_M-T,José Miguel de Velasco,Santa Cruz,Bolivia,POINT (-16.371 -60.371)
focos_ams_ontem_hoje_ref.241494b2-6321-3250-bc51-56bfeadaadb8,-64.221,-15.853,2019-07-08T17:45:00,AQUA_M-T,Ñuflo de Chávez,Santa Cruz,Bolivia,POINT (-15.853 -64.221)
focos_ams_ontem_hoje_ref.24343db7-e9d5-3a4e-ac7c-c6a9cf330331,-44.922,-17.523,2019-07-08T16:05:00,AQUA_M-T,PIRAPORA,MINAS GERAIS,Brasil,POINT (-17.523 -44.922)
focos_ams_ontem_hoje_ref.24556600-2887-35a0-82c7-ae4ca9d1199e,-54.934,-13.279,2019-07-08T17:45:00,AQUA_M-T,NOVA UBIRATÃ,MATO GROSSO,Brasil,POINT (-13.279 -54.934)
focos_ams_ontem_hoje_ref.24d3ace2-d2f7-3ef4-a750-11ab3829c69b,-59.422,-16.298,2019-07-08T17:45:00,AQUA_M-T,José Miguel de Velasco,Santa Cruz,Bolivia,POINT (-16.298 -59.422)
focos_ams_ontem_hoje_ref.24e846ad-7d6b-31be-b35a-cb91434bbf19,-56.983,-25.318,2019-07-08T17:40:00,AQUA_M-T,Eusebio Ayala,Cordillera,Paraguay,POINT (-25.318 -56.983)
focos_ams_ontem_hoje_ref.24f58186-8e01-3f0d-94fa-dc6565205112,-57.695,-27.401,2019-07-08T17:40:00,AQUA_M-T,Berón de Astrada,Corrientes,Argentina,POINT (-27.401 -57.695)
focos_ams_ontem_hoje_ref.251ca1f1-8ba1-389a-8bd1-de30a59706de,-57.703,-22.406,2019-07-08T17:40:00,AQUA_M-T,Concepción,Concepción,Paraguay,POINT (-22.406 -57.703)
focos_ams_ontem_hoje_ref.2522a1b4-e02a-32d2-8331-93b924cdcfaf,-56.648,-28.417,2019-07-08T17:40:00,AQUA_M-T,San Martín,Corrientes,Argentina,POINT (-28.417 -56.648)
focos_ams_ontem_hoje_ref.25336adf-dfec-3603-bead-b0f6d6e6cb1f,-53.967,-29.986,2019-07-08T17:40:00,AQUA_M-T,SANTA MARIA,RIO GRANDE DO SUL,Brasil,POINT (-29.986 -53.967)
focos_ams_ontem_hoje_ref.25af8158-2121-35f9-a3a1-2f8c01745ead,-42.348,-2.958,2019-07-08T16:10:00,AQUA_M-T,TUTÓIA,MARANHÃO,Brasil,POINT (-2.958 -42.348)
focos_ams_ontem_hoje_ref.25b426a5-a920-3f93-a9c2-03772bdf4317,-58.955,-26.942,2019-07-08T17:40:00,AQUA_M-T,Primero de Mayo,Chaco,Argentina,POINT (-26.942 -58.955)
focos_ams_ontem_hoje_ref.25bc8e91-a0c5-3285-801b-849fb0a8abc4,-43.461,-19.571,2019-07-08T16:05:00,AQUA_M-T,ITABIRA,MINAS GERAIS,Brasil,POINT (-19.571 -43.461)
focos_ams_ontem_hoje_ref.262e52d0-d0bc-3fa6-8fcc-211c0be482fe,-57.283,-26.781,2019-07-08T17:40:00,AQUA_M-T,San Juan Bautista de las Misiones,Misiones,Paraguay,POINT (-26.781 -57.283)
focos_ams_ontem_hoje_ref.2691efcc-418d-334a-835f-cc77de0b0813,-65.868,-11.262,2019-07-08T17:45:00,AQUA_M-T,Vaca Díez,El Beni,Bolivia,POINT (-11.262 -65.868)
focos_ams_ontem_hoje_ref.26b965b1-e47e-339d-9ae4-fa8bda0c3905,-56.131,-26.69,2019-07-08T17:40:00,AQUA_M-T,San Pedro del Paraná,Itapúa,Paraguay,POINT (-26.69 -56.131)
focos_ams_ontem_hoje_ref.26e39e64-0226-32ad-b2c2-8d5c463a10e1,-57.207,-29.418,2019-07-08T17:40:00,AQUA_M-T,Paso de los Libres,Corrientes,Argentina,POINT (-29.418 -57.207)
